show_id,title,sentiment_compound,sentiment_label
s1,Dick Johnson Is Dead,-0.296,negative
s2,Blood & Water,-0.1531,negative
s3,Ganglands,-0.7783,negative
s4,Jailbirds New Orleans,0.2263,positive
s5,Kota Factory,0.743,positive
s6,Midnight Mass,0.128,positive
s7,My Little Pony: A New Generation,0.8402,positive
s8,Sankofa,-0.7845,negative
s9,The Great British Baking Show,0.9382,positive
s10,The Starling,-0.6249,negative
s11,"Vendetta: Truth, Lies and The Mafia",-0.9153,negative
s12,Bangkok Breaking,-0.6705,negative
s13,Je Suis Karl,-0.9419,negative
s14,Confessions of an Invisible Girl,0.6428,positive
s15,Crime Stories: India Detectives,-0.4404,negative
s16,Dear White People,0.0,neutral
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,0.0,neutral
s18,Falsa identidad,-0.7964,negative
s19,Intrusion,-0.6249,negative
s20,Jaguar,0.6369,positive
s21,Monsters Inside: The 24 Faces of Billy Milligan,-0.765,negative
s22,Resurrection: Ertugrul,-0.2732,negative
s23,Avvai Shanmughi,-0.5994,negative
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,0.8016,positive
s25,Jeans,0.8176,positive
s26,Love on the Spectrum,0.5859,positive
s27,Minsara Kanavu,0.8779,positive
s28,Grown Ups,0.3182,positive
s29,Dark Skies,-0.5719,negative
s30,Paranoia,-0.4588,negative
s31,Ankahi Kahaniya,0.34,positive
s32,Chicago Party Aunt,0.0258,neutral
s33,Sex Education,-0.2006,negative
s34,Squid Game,0.6597,positive
s35,Tayo and Little Wizards,0.0,neutral
s36,The Father Who Moves Mountains,0.1316,positive
s37,The Stronghold,-0.1154,negative
s38,Angry Birds,0.0258,neutral
s39,Birth of the Dragon,-0.8402,negative
s40,Chhota Bheem,0.8625,positive
s41,He-Man and the Masters of the Universe,-0.0772,negative
s42,Jaws,-0.5423,negative
s43,Jaws 2,-0.4939,negative
s44,Jaws 3,0.6249,positive
s45,Jaws: The Revenge,0.6808,positive
s46,My Heroes Were Cowboys,0.743,positive
s47,Safe House,-0.6369,negative
s48,The Smart Money Woman,0.9442,positive
s49,Training Day,-0.128,negative
s50,Castle and Castle,0.9136,positive
s51,Dharmakshetra,0.4588,positive
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,-0.7269,negative
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,-0.0772,negative
s54,InuYasha the Movie 4: Fire on the Mystic Island,0.4019,positive
s55,InuYasha the Movie: Affections Touching Across Time,-0.5023,negative
s56,Nailed It,0.296,positive
s57,Naruto Shippuden the Movie: Blood Prison,-0.8591,negative
s58,Naruto Shippûden the Movie: Bonds,0.34,positive
s59,Naruto Shippûden the Movie: The Will of Fire,0.296,positive
s60,Naruto Shippuden: The Movie,-0.7223,negative
s61,Naruto Shippuden: The Movie: The Lost Tower,-0.8481,negative
s62,Naruto the Movie 2: Legend of the Stone of Gelel,-0.743,negative
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,0.5859,positive
s64,Naruto the Movie: Ninja Clash in the Land of Snow,-0.296,negative
s65,Nightbooks,-0.6705,negative
s66,Numberblocks,0.8074,positive
s67,Raja Rasoi Aur Anya Kahaniyan,0.0,neutral
s68,Saved by the Bell,0.7579,positive
s69,Schumacher,0.6597,positive
s70,Stories by Rabindranath Tagore,0.7964,positive
s71,Too Hot To Handle: Latino,-0.0516,negative
s72,A StoryBots Space Adventure,0.296,positive
s73,Jack Whitehall: Travels with My Father,0.6369,positive
s74,King of Boys,-0.3612,negative
s75,The World's Most Amazing Vacation Rentals,0.1779,positive
s76,You vs. Wild: Out Cold,0.1531,positive
s77,Yowamushi Pedal,0.7506,positive
s78,Little Singham - Black Shadow,-0.8595,negative
s79,Tughlaq Durbar,0.0,neutral
s80,Tughlaq Durbar (Telugu),0.0,neutral
s81,Firedrake the Silver Dragon,0.9042,positive
s82,Kate,-0.886,negative
s83,Lucifer,-0.9022,negative
s84,Metal Shop Masters,0.7906,positive
s85,Omo Ghetto: the Saga,-0.6369,negative
s86,Pokémon Master Journeys: The Series,-0.1511,negative
s87,Prey,0.2023,positive
s88,Titipo Titipo,0.7096,positive
s89,Blood Brothers: Malcolm X & Muhammad Ali,-0.4588,negative
s90,Mighty Raju,0.4926,positive
s91,Paradise Hills,-0.6187,negative
s92,The Women and the Murderer,-0.6486,negative
s93,Into the Night,-0.5859,negative
s94,JJ+E,0.9081,positive
s95,Show Dogs,-0.2263,negative
s96,The Circle,-0.0772,negative
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0.0,neutral
s98,Kid Cosmic,0.6966,positive
s99,Octonauts: Above & Beyond,0.7959,positive
s100,On the Verge,0.8176,positive
s101,Tobot Galaxy Detectives,0.3382,positive
s102,Untold: Breaking Point,0.3612,positive
s103,Countdown: Inspiration4 Mission to Space,0.0,neutral
s104,Shadow Parties,-0.836,negative
s105,Tayo the Little Bus,0.8137,positive
s106,Angamaly Diaries,-0.7184,negative
s107,Bunk'd,0.6808,positive
s108,A Champion Heart,-0.4215,negative
s109,Dive Club,0.0772,positive
s110,La casa de papel,-0.7717,negative
s111,Money Heist: From Tokyo to Berlin,0.4767,positive
s112,Sharkdog,-0.1007,negative
s113,Worth,-0.296,negative
s114,Afterlife of the Party,-0.7184,negative
s115,Anjaam,-0.872,negative
s116,Bright Star,0.8934,positive
s117,Dhanak,0.0,neutral
s118,Final Account,0.0,neutral
s119,Gurgaon,0.4215,positive
s120,Here and There,0.5574,positive
s121,Heroes of Goo Jit Zu,-0.5267,negative
s122,Hotel Del Luna,-0.7269,negative
s123,In the Cut,-0.7783,negative
s124,Luv Kushh,0.34,positive
s125,Pororo - The Little Penguin,0.8316,positive
s126,Q-Force,-0.6114,negative
s127,Shikara,0.0516,positive
s128,A Cinderella Story,0.1027,positive
s129,Agatha Christie's Crooked House,-0.5994,negative
s130,An Unfinished Life,-0.296,negative
s131,Barbie Big City Big Dreams,0.4767,positive
s132,Blade Runner: The Final Cut,0.0,neutral
s133,Brave Animated Series,0.2023,positive
s134,Chappie,-0.2263,negative
s135,Clear and Present Danger,-0.8658,negative
s136,Cliffhanger,0.5106,positive
s137,Cold Mountain,-0.34,negative
s138,Crocodile Dundee in Los Angeles,0.4357,positive
s139,Dear John,0.128,positive
s140,Do the Right Thing,-0.9413,negative
